02:26:31 22/04/2019 | MainView             | INFO     | Changing to tabWidget mode 
02:26:31 22/04/2019 | MainView             | INFO     | Changing from homeTab to homeTab 
02:26:31 22/04/2019 | MainController       | INFO     | View change completed 
02:26:31 22/04/2019 | ConnectView          | DEBUG    | Updating status text 
02:26:31 22/04/2019 | DeviceFinder         | DEBUG    | Starting new thread; searching for devices 
02:26:31 22/04/2019 | HomeController       | DEBUG    | Connect button clicked 
02:26:31 22/04/2019 | MainController       | INFO     | Requesting view change 
02:26:31 22/04/2019 | MainView             | INFO     | Changing from homeTab to connectTab 
02:26:31 22/04/2019 | MainController       | INFO     | View change completed 
02:26:47 22/04/2019 | DeviceFinder         | DEBUG    | Found bluetooth device with name: rolph and address: 74:9E:AF:43:7A:89 
02:26:47 22/04/2019 | DeviceFinder         | DEBUG    | Search complete, deleting thread 
02:26:47 22/04/2019 | ConnectView          | DEBUG    | Adding rolph to found devices list 
02:26:55 22/04/2019 | ConnectController    | DEBUG    | Device ['rolph'] selected 
02:26:55 22/04/2019 | ConnectController    | DEBUG    | Attempting to connect to ['rolph'] device 
02:26:55 22/04/2019 | DeviceConnector      | DEBUG    | Starting new thread; connecting with rolph 
02:26:55 22/04/2019 | DeviceConnector      | DEBUG    | Deleting connection thread 
02:27:36 22/04/2019 | App                  | INFO     | App started 
02:27:36 22/04/2019 | App                  | INFO     | Instantiating models 
02:27:36 22/04/2019 | App                  | INFO     | Instantiating controllers 
